Q5_1	Q5_2	Q5_3	Q5_4	Q5_5	Q5_6	Q6box_1	Q6box_2	Q6box_3	Q6box_4	Q6_score	Q10_1	Q10_2	Q10_3	Q10_4	Q35_ERP	Q40_TAA	Q36_ITcount	Q37_ITassist	Q38_Taxcount	Q39_TAAexpert	Q22_box1	Q22_box2	Q22_box3	Q22_box4	Q22_box5	Q22_box6	Q22_box7	Q22_box8	Q22_box9	Q22_box10	Q23_1	Q23_2	Q26	Q24_box1	Q24_box2	Q24_box3	Q24_box4	Q27	Q29	Q41	Q30_1	Q30_2	Q30_3	Q30_4	Q31_1	Q31_2	Q31_3	Q32_1	Q32_2	Q32_3	Q32_4	Q42	Q45	Q43	Q44
3	1	2	3	4	5	1				1	4	4	2	2	1	0	0	3	30	14	1	2	3								3	1	6		2	3	4	3	6	6	3	3	3		1	5	5	4	4	4	6	1	10	CFO	
5	3	3	5	4	5	1				1	4	3	3	3		1	3	1	40	3	1										3	3	6				4	3	6	6	3	4	4	4	2	3	3	4	4	4	4	3	16	CFO	VP Tax
5	4	3	5	5	5	1				1	1	3	1	1	1	0	3	1	12	1	1	2	3			6					3	1	6				4	2	2	6	5	5	2		5	5	5	5	5	5	1	1	3	CAO	
4	4	3	5	4	5	1			4	1	5	5	3	4	1	0	2	0	9	2	1		3								3	1	6		2	3	4	2	2	2	3	3	3		4	4	4	2	1	4	3	3	6	Chief Financial Officer	Vice President of Global Tax
3	4	3	5	5	5				4	3	5	5	5	5	1	1	2	1	13	8	1	2	3	4	5	6				10	5	4	6	1	2	3	4	3	3	3	1	1	3	4	2	5	2	4	3	5	3	3	20	CFO	VP Tax
3	3	3	4	2	5	1				1	3	3	2	2	1	0	2	1	6	2	1		3								2	3	5	1	2	3	4	3	3	3	5	5	2		5	5	5	6	3	3	6	3	12	Treasury	I am the head of the tax department
5	4	4	5	5	5	1				1	2	3	6	6	1	0	2	1	23	1	1										1	1	6		2	3	4	2			4	4	2		3	5	5	3	3	2	6	3	3	CFO	Sr. VP Corporate Tax
5	2	3	5	4	5	1	2			1	2	2	2	2	1	1	3	1	20	1	1	2	3	4	5		7				2	1	6				4	3	6	6	5	5	5		2	5	5	2	1	1	6	4	2	Treasury	"VP, Tax Administration"
2	3	5	5	1	2	1	2			2	4	4	3	2	1	0	3	2	3	3	1		3	4							4	4	5			3		1	1	1	2	3	3		1	5	1	3	2	2	2	3	6	CFO	N/A
5	5	2	4	4	5	1		3		2	3	1	1	1	1	0	3	0	18	1	1						7				3	1	6			3		1	1	3	5	4	5	5	2	5	3	6	1	4	6	3	19	Vice President of Finance (Not the CFO)	I am head of Tax - Corporate Tax Director
2	2	2	1	1	1	1				2	4	4	1	1	1	1	0	1	27	3	1	2			5		7	8			3	2	6	1				1	1	1	4	5	3		2	5	2	2	2	2	6	3	3	CFO	Senior VP of Tax
1	1	3	5	5	5	1				1	3	3	1	1	0	0			2	0	1										1	1				3		2			1	3	1		5	5	2	3	3	3	6	3	2	CFO	
3	5	4	5	3	5					1	5	5	2	2	1	1	2	2	30	5	1	2			5						3	3	6			3	4	2	2	1	5	3	1	5	3	5	2	5	4	3	4	4	3	CFO	VP of Tax
5	5	4	4	5	5	1					1	1	1	1	1	0	3	0	10	0	1										1	1	5			3		1	1	1	3	3	5	5	5	4	1	1	1	1	1	3	5	Chief Accounting Officer	"Senior Director, Tax"
5	5	5	5	4	4	1	2		4	1	3	3	1	1	1	0	3	1	23	0	1		3	4							2	2	6				4	2	1	1	4	4	5	6	2	3	3	5	3	3	2	1	6	CFO	"Senior Vice President, Director of Tax"
3	5	3	6	6	6	1	2	3		3	4	4	2	2	1	0	3	2	19	4	1		3	4	5	6	7				3	3	6		2	3		1	1	2	3	3	5	5	2	3	3	4	3	2	2	1	8	Sr VP Finance 	
4	5	3	5	5	5					3	4	4	3	3	1	0	0	0	40	8	1	2					7	8			3	1					4	3	3		1	3	3		1	1	1	6	6	6	6	3	2	CFO	VP of Tax
3	2	5	5	3	5		2				2	3	1	1			0	0	30	2	1										2	2	6			3		2			4	5	5		5	5	3	6	6	6	6	3	1.5	Controller and Chief Accounting Officer	Chief Tax Officer
1	1	1	1	3	3	1				1	1	1	1	1	0	0	3	0	6	5	1										1	1	5		2	3	4	3	6	4	1	1	3		3	3	3	3	3	3	3	3	5	CFO	VP of Tax
1	3	2	4	4	5	1			4	1	2	3	1	1		1			21	4	1		3		5						3	3	6		2	3	4	2			4	2	3		6	4	1	5	4	3	6	3	2	SVP Controller & CAO	"VP, Corporate Tax"
2	4	2	5	5	5	1	2			3	4	3	2	2	1	1	3	1	40	10	1	2	3		5		7				1	1	6				4	3	5		3	2	2	3	4	4	4	5	3	3	2	3	3	CFO	SVP tax
5	4	5	5	5	5	1		3		2	3	3	3	3	1	0	2	1	12	5	1	2	3	4	5						4	3	4				4	3	5	4	3	3	3	3	2	4	5	4	3	3	4	1	2	CFO	
4	4	5	5	5	5	1	2			2	4	3	4	4	1	0	2	2	20	3	1		3			6	7				4	4	6		2	3	4	3	4	4	4	4	2		3	3	3	4	6	3	3	5	0.16	CFO	"VP, Head of Global Tax "
2	3	4	5	5	5	1				2	4	3	4	4	1	0	2	1	12	6	1		3			6					3	2	6		2	3	4	3	4		3	3	4	5	5	5	5	5	4	4	3	3	24	"EVP, Finance Controller"	
5	5	5	5	5	5	1	2			1	3	3	3	3	1	0	3	0	50	5	1	2					7				3	3	6		2	3	4	3	6	6	3	3	5	5	5	5	5	3	3	5	5	1	9	CFO	it is my position
3	5	3	5	4	5					2	3	3	1	1		1	3	0	85	5	1	2	3	4	5		7				3	6	6		2	3	4	3	3		2	5	2	5	1	5	5	5	5	5	6	3	1	CFO	Vice President Taxes
2	4	5	6	2	6	1	2				2	2	1	1		0	3	0	22	0	1		3								3	1	5					2	2	2	5	5	5		5	5	5	2	1	2	3	3	1.5	CFO	Chief Tax Officer
3	5	6	5	6	6	1	2			2	4	4	2	2	1	0	3	0	19	19	1	2									1	2	6		2	3		1	1	1	4	5	2	5	5	5	1	4	4	5	2	1	3	Treasurer	
5	5	4	5	5	5	1	2		4	2	4	3	3	4	1	0	2	2	4	2	1	2					7				4	3	6				4	3	5	5	4	4	4		5	5	5	5	5	1	1	1	3	Sr VP Treasurer 	VP Tax
5	4	4	5	5	5	1				3	4	4	3	3	1	0	2	1	15	3.5	1	2			5		7				3	2	6				4	3	3	3	3	3	3		3	5	5	3	2	2	2	2	19	CFO	
4	3	1	5	4	5	1		3		1	5	5	2	2	1	0	2	1	11	3	1										1	6	5		2	3	4	2	2	2	3	3	4		5	5	2	5	2	1	6	1	4	CFO	
3	2	1	5	5	6					2	4	1	1	4	1	0	2	1	14	0	1	2	3				7				1	6	4			3		1	1	1	5	3	3		2	4	3	4	3	2	1	1	10	CAO	
4	4	5	5	3	4	1	2				3	3	2	3	1	0		0	17	0	1										3	1	6		2	3	4	3	6		1	3	3	5	2	4	4	3	3	3	6	3	3	CFO	"Vice President, Tax"
3	4	4	4	4	5	1				2	4	4	3	3	1	1	3	1	30	3.5	1	2			5		7			10	2	3			2	3	4				4	2	3		3	3	3	3	3	4	3	4	3	CFO	Corporate Tax Director
5	4	4	4	5	5	1	2			1	3	3	3	3	1	0	3	0	6	0	1										2	1					4	2	3	3	4	4	5		3	5	3	4	4	3	2	1	1	CAO	
5	5	4	4	5	5					2	3	2	3	3	0	0	0	0	44	4	1										3	1	6		2	3	4	2	2	2	5	3	5		5	5	5	2	1	2	3	1	24	CFO	
5	5	4	5	5	5	1					2	3	2	2	1	0	1	1	6	3	1						7				3	2	5				4	3	6	6	4	5	3		2	2	2	2	2	3	3	5	2	cfo	vp tax
2	5	2	5	3	5	1				1	3	3	1	1	1	0	3	1	7	0	1	2			5						3	6	6		2	3	4	2	1		1	3	5		1	5	3	4	1	3	2	3	4	Controller	Tax Director
5	1	1	5	3	5	1				1	4	4	1	2	1	0	3	1	33	1	1										1	2	6				4	3	6		1	2	5	5	2	3	5	3	3	1	6	2	12	Global CFO	N/A
5	5	2	5	5	4	1				1	3	4	2	3	1	0	0	0	11	5	1	2			5						3	6	6				4	3	4		5	3	4		4	4	4	2	5	2	5	3	2	CFO	"VP, Tax"
5	4	2	5	3	4	1	2			1	4	3	2	3	1	0	2	1	14	0	1		3		5		7				4	1	4				4	2	2	4	4	3	5		3	5	5	5	5	4	2	3	8	CFO	"My position (Executive Director, Global Tax)"
5	5	3	5	4	5	1				2	4	4	1	1	0	1	1	0	14	1	1	2	3								1	2	5			3	4	2	1	1	3	3	3	5	4	4	1	4	4	5	4	3	6	CFO	SVP - Accounting &Tax (she has a Masters in Taxation)
4	2	3	5	3	5	1				1	4	2	1	1	1	0	2	1	8	3	1		3								2	1	6		2	3	4	3	6	6	4	4	3		2	3	4	5	4	3	2	3	5.5	Chief Accounting Officer	Global Tax Director
4	3	3	4	4	5	1	2			1	3	4	2	1	1	0	2	1	26	2	1						7				2	1	6				4	2	2	2	2	3	5		1	3	1	3	1	3	1	1	5	CFO	N/A
5	3	3	5	5	5	1				2	2	3	1	2	1	0	3	1	10	0	1						7				3	1	6			3		2	1	6	5	4	5		3	5	2	2	2	4	2	3	5	CFO	Vice President of Finance
5	1	5	5	5	5	1	2			1	4	5	3	5	1	0	3	1	9	1	1		3			6					4	6	5		2	3	4	3	6		5	5	5		5	5	5	5	5	5	5	3	13	CFO	VP Global Tax
3	1	5	5	4	5					2	3	3	1	1	0	1	0	0	45	4	1				5	6	7				4	6	6		2	3	4	3	5		2	3	3	4	1	1	1	2	4	5	3	4	0.25	CFO	Vice President of Taxes
3	5	3	4	4	4	1	2	3			2	2			1	0	2	1	7	2	1		3								1	2	5			3		2	1	2	4	2	4	5	2	5	2	1	2	2	2	1	8	CFO	"Vice President, Tax"
3	3	4	5	5	5	1	2			3	4	4	2	2	1	0	3	1	10	2	1	2	3				7				3	3	6		2	3	4	2	3	4	4	4	4		3	3	3	3	4	4	4	1	7	CFO	
1	3	1	4	5	5	1				2	3	3	1	1	1	1	2	0	14	5	1	2	3		5		7				2	2	6		2	3	4	3	5		3	2	3	4	3	4	2	6	3	6	6	1	20.5	Chief accounting Officer	"Vice President, Tax"
4	2	4	5	6	6	1				1	4	4	1	1	1	0	2	1	7	1	1						7				3	4			2	3	4	2	3	2	4	4	5		3	3	3	6	6	6	6	1	10	CFO	VP
5	4	4	4	5	5	1				1	4	4	3	2	0	0	3	1	18	1	1	2									2	2	6				4	3	1		4	3	2		1	3	3	4	4	3	3	1	10	CFO	
2	2	2	4	5	4					1	3	3	1	1	1	0	0	0	65	0	1	2									4	6	1				4	3	6			5	5	5	4	4	4	3	4	2	6	3	7	CFO	
3	3	5	5	5	5	1	2																																																
5	4	5	5	5	5	1				2	5	5	3	2		0	3	0	30	5	1		3		5	6	7				4	6	6				4	3	2		3	5	5	5	3	5	5	5	5	5	6	3	15	CFO	VP Tax
3	1	3	5	5	5					1	2	2	1	1	1	1	2	0	19	1	1						7				3	2	6		2	3	4	3	4	4	4	4	3	5	5	5	4	3	3	6	6	1	6.3	CFO	N/A
4	5	5	5	5	5	1																																																	
1	5	5	5	5	5					1	1	4	1	1																																									
