"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q26"	"Q27"	"Q29"	"Q41"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"	"adoption_score"	"TAA_capability"	"Domestic_International"	"Q26_num"	"Q29_num"	"Q41_num"
1	0	3	1	7	0	6	2	1	NA	-0.541630415482401	-0.923504712080757	0.324967844522841	0.894178487685489	-0.0580543886604373	-0.349756824205936	-0.540254599445	-0.391009010076986	1	6000	"0.01"	NA
1	0	3	1	33	1	6	3	6	NA	-0.376778666271413	0.0547428907858119	-0.757555736513888	1.04916115490104	-0.00564247988306794	-0.745603103588802	-0.540254599445	-1.19672454599319	1	12000	"0.80"	NA
1	0	0	0	11	5	6	3	4	NA	0.277201966597456	0.183885859550102	0.324967844522841	-0.480494884347074	-0.94138226730138	0.235301937248829	-0.540254599445	-0.391009010076986	1	23000	"0.35"	NA
1	0	2	1	14	0	4	2	2	4	0.0355176800720504	0.253947693286983	0.59484776126542	-0.480495218338128	0.877687073899164	0.664573140928006	-0.540254599445	0.951850216450034	1	800	"0.15"	0.3
0	1	1	0	14	1	5	2	1	1	0.646235719989629	-0.409622811124053	-0.757555736513888	0.204506258213428	-0.941383134986299	1.56253964986927	0.87271896833423	-0.391009010076986	1	3000	"0.01"	0
1	0	2	1	8	3	6	3	6	6	0.00952793713327841	-0.644797592992851	-0.757555861872187	-0.545225155498566	-0.941381653231799	0.632569161087828	-0.540254599445	-0.659580855382387	1	15000	"0.80"	0.8
1	0	2	1	26	2	6	2	2	2	0.44202154158861	-0.280479816867481	-0.757555861872187	-0.211996852000831	-0.941382408610118	-1.29795998559311	-0.540254599445	-0.122437164771579	1	18000	"0.10"	0.1
1	0	3	1	10	0	6	2	1	6	0.522832978817707	-0.45913897402943	-0.537219040556288	-0.864009368753418	-0.0580518825283367	-0.723450528998236	0.87271896833423	-0.122437164771579	0	40000	"0.00"	0.75
1	0	3	1	9	1	5	3	6	NA	0.325505378577983	2.32854976683642	1.45703464634455	-0.864008902155247	1.84507465883519	1.63341905175798	-0.540254599445	0.146134680533821	1	5000	"0.60"	NA
0	1	0	0	45	4	6	3	5	NA	0.178914790698549	-0.923504712080757	1.45703464634455	0.207168338557248	-0.941382259185064	0.636746768434712	0.87271896833423	1.22042206175543	1	67000	"0.42"	NA
1	0	2	1	7	2	5	2	1	2	0.50616421152266	0.221129392245028	-0.757555736513888	-0.325512694068311	-0.0580523317547383	-1.98788818456879	-1.24674138333462	-0.659580855382387	0	13000	"0.01"	0.1
1	0	3	1	10	2	6	2	3	4	0.382761926071619	0.475857752389177	-0.182119052040334	-0.864009988635933	-0.941383156296467	0.666618656133457	2.99217932000308	0.683278371144627	1	8000	"0.30"	0.3
1	1	2	0	14	5	6	3	5	NA	-0.514914699446799	-0.923504712080757	-0.757555861872187	0.149901058476208	-0.941380927314146	-0.132027421962977	0.87271896833423	1.22042206175543	1	14000	"0.45"	NA
1	0	2	1	7	1	NA	2	3	2	-0.742495237607948	-0.409622811124053	1.24662463266082	-0.864009845690203	-0.941383156296467	-0.218107546222885	-0.540254599445	-0.122437164771579	1	NA	"0.20"	0.1
0	0	3	1	18	1	6	3	1	NA	0.652755001078622	0.595789152979797	-0.757555861872187	-0.161710736609015	-0.941383493216268	0.752751250422165	-0.540254599445	-0.928152700687789	1	10700	"0.02"	NA
1	0	0	0	65	0	1	3	6	NA	-0.627196437505933	-0.923504712080757	1.45703464634455	-0.390413380835778	-0.94138226730138	-0.0561141023450329	-0.540254599445	-0.928152700687789	1	65	"60%"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.382761665813195	0.646527228537286	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885	-1.24674138333462	-1.19672454599319	NA	NA	""	NA
NA	0	3	0	30	5	6	3	2	NA	0.652754740820198	2.04253569990409	1.45703464634455	-0.497792592732113	0.877687073899164	1.25569225553325	0.87271896833423	1.75756575236624	1	10000	"0.15"	NA
1	1	2	0	19	1	6	3	4	4	0.185433396337524	-0.936769424198182	-0.537219040556288	-0.390240971838961	0.909335485486464	-0.186852760251439	-0.540254599445	-0.122437164771579	1	9500	"0.28"	0.28
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.578462497892404	0.646527228537286	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885	-1.24674138333462	-1.19672454599319	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0756069943504167	-0.952754357920199	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885	-0.540254599445	-1.19672454599319	NA	NA	NA	NA
